Accession	1000 terminals	500 terminals	250 terminals	125 terminals	75 terminals
GB_GCA_002498295.1	YES	YES	NO	NO	NO
GB_GCA_002498315.1	YES	NO	NO	NO	NO
GB_GCA_002498375.1	YES	NO	NO	NO	NO
GB_GCA_002498385.1	YES	NO	NO	NO	NO
GB_GCA_002498705.1	YES	NO	NO	NO	NO
GB_GCA_002498825.1	YES	NO	NO	NO	NO
GB_GCA_002499035.1	YES	YES	YES	NO	NO
GB_GCA_002499145.1	YES	NO	NO	NO	NO
GB_GCA_002499445.1	YES	NO	NO	NO	NO
GB_GCA_002499755.1	YES	YES	YES	YES	YES
GB_GCA_002499905.1	YES	YES	NO	NO	NO
GB_GCA_002501765.1	YES	NO	NO	NO	NO
GB_GCA_002502405.1	YES	YES	NO	NO	NO
GB_GCA_002502635.1	YES	NO	NO	NO	NO
GB_GCA_002502735.1	YES	YES	YES	YES	YES
GB_GCA_002502785.1	YES	NO	NO	NO	NO
GB_GCA_002502845.1	YES	YES	YES	YES	NO
GB_GCA_002503085.1	YES	NO	NO	NO	NO
GB_GCA_002503105.1	YES	NO	NO	NO	NO
GB_GCA_002503125.1	YES	YES	YES	YES	YES
GB_GCA_002503365.1	YES	YES	YES	NO	NO
GB_GCA_002503565.1	YES	NO	NO	NO	NO
GB_GCA_002503585.1	YES	NO	NO	NO	NO
GB_GCA_002503825.1	YES	YES	NO	NO	NO
GB_GCA_002504485.1	YES	YES	YES	NO	NO
GB_GCA_002504765.1	YES	NO	NO	NO	NO
GB_GCA_002505535.1	YES	NO	NO	NO	NO
GB_GCA_002505605.1	YES	YES	YES	NO	NO
GB_GCA_002505765.1	YES	NO	NO	NO	NO
GB_GCA_002505895.1	YES	YES	NO	NO	NO
GB_GCA_002505925.1	YES	NO	NO	NO	NO
GB_GCA_002506085.1	YES	YES	YES	NO	NO
GB_GCA_002506105.1	YES	YES	YES	YES	NO
GB_GCA_002506415.1	YES	NO	NO	NO	NO
GB_GCA_002506535.1	YES	NO	NO	NO	NO
GB_GCA_002506785.1	YES	YES	NO	NO	NO
GB_GCA_002506795.1	YES	YES	YES	NO	NO
GB_GCA_002506845.1	YES	NO	NO	NO	NO
GB_GCA_002506915.1	YES	NO	NO	NO	NO
GB_GCA_002507025.1	YES	NO	NO	NO	NO
GB_GCA_002507065.1	YES	YES	NO	NO	NO
GB_GCA_002507245.1	YES	YES	YES	NO	NO
GB_GCA_002507545.1	YES	YES	NO	NO	NO
GB_GCA_002508385.1	YES	YES	YES	YES	NO
GB_GCA_002508475.1	YES	YES	YES	NO	NO
GB_GCA_002508505.1	YES	YES	YES	YES	NO
GB_GCA_002508665.1	YES	NO	NO	NO	NO
GB_GCA_002508675.1	YES	YES	NO	NO	NO
GB_GCA_002508725.1	YES	YES	NO	NO	NO
GB_GCA_002508745.1	YES	YES	NO	NO	NO
GB_GCA_002508765.1	YES	YES	NO	NO	NO
GB_GCA_002508805.1	YES	NO	NO	NO	NO
GB_GCA_002508845.1	YES	NO	NO	NO	NO
GB_GCA_002508855.1	YES	NO	NO	NO	NO
GB_GCA_002508885.1	YES	NO	NO	NO	NO
GB_GCA_002508905.1	YES	NO	NO	NO	NO
GB_GCA_002508935.1	YES	YES	NO	NO	NO
GB_GCA_002509015.1	YES	YES	YES	NO	NO
GB_GCA_002509045.1	YES	YES	NO	NO	NO
GB_GCA_002509335.1	YES	NO	NO	NO	NO
GB_GCA_002509545.1	YES	NO	NO	NO	NO
GB_GCA_002509565.1	YES	YES	YES	NO	NO
GB_GCA_002634415.1	YES	YES	NO	NO	NO
GB_GCA_002737455.1	YES	NO	NO	NO	NO
GB_GCA_002838935.1	YES	NO	NO	NO	NO
GB_GCA_002839545.1	YES	NO	NO	NO	NO
GB_GCA_002839605.1	YES	NO	NO	NO	NO
GB_GCA_002839645.1	YES	YES	NO	NO	NO
GB_GCA_002839675.1	YES	NO	NO	NO	NO
GB_GCA_002839705.1	YES	YES	NO	NO	NO
GB_GCA_002855745.1	YES	NO	NO	NO	NO
GB_GCA_002897955.1	YES	YES	YES	NO	NO
GB_GCA_002898355.1	YES	YES	YES	NO	NO
GB_GCA_002926195.1	YES	YES	NO	NO	NO
GB_GCA_003009755.1	YES	NO	NO	NO	NO
GB_GCA_003020945.1	YES	YES	NO	NO	NO
GB_GCA_003021175.1	YES	YES	YES	YES	YES
GB_GCA_003021305.1	YES	NO	NO	NO	NO
GB_GCA_003021655.1	YES	NO	NO	NO	NO
GB_GCA_003021785.1	YES	NO	NO	NO	NO
GB_GCA_003022765.1	YES	YES	NO	NO	NO
GB_GCA_003023195.1	YES	YES	YES	YES	YES
