Accession	1000 terminals	500 terminals	250 terminals	125 terminals	75 terminals
RS_GCF_000404165.1	YES	YES	YES	YES	NO
RS_GCF_000427685.1	YES	YES	YES	NO	NO
RS_GCF_000430485.1	YES	NO	NO	NO	NO
RS_GCF_000430905.1	YES	NO	NO	NO	NO
RS_GCF_000446015.1	YES	YES	YES	NO	NO
RS_GCF_000447865.2	YES	YES	NO	NO	NO
RS_GCF_000455345.1	YES	NO	NO	NO	NO
RS_GCF_000455365.1	YES	NO	NO	NO	NO
RS_GCF_000470655.1	YES	YES	NO	NO	NO
RS_GCF_000474235.1	YES	YES	YES	YES	YES
RS_GCF_000485535.1	YES	NO	NO	NO	NO
RS_GCF_000493245.1	YES	NO	NO	NO	NO
RS_GCF_000495475.1	YES	YES	YES	YES	NO
RS_GCF_000499765.1	YES	YES	NO	NO	NO
RS_GCF_000504205.1	YES	NO	NO	NO	NO
RS_GCF_000504565.1	YES	NO	NO	NO	NO
RS_GCF_000513315.1	YES	YES	YES	YES	NO
RS_GCF_000513855.1	YES	NO	NO	NO	NO
RS_GCF_000517445.1	YES	YES	YES	YES	NO
RS_GCF_000517625.1	YES	YES	NO	NO	NO
RS_GCF_000585495.1	YES	NO	NO	NO	NO
RS_GCF_000591055.1	YES	YES	NO	NO	NO
RS_GCF_000621965.1	YES	YES	YES	NO	NO
RS_GCF_000632495.1	YES	YES	NO	NO	NO
RS_GCF_000685155.1	YES	NO	NO	NO	NO
RS_GCF_000685395.1	YES	NO	NO	NO	NO
RS_GCF_000685635.1	YES	NO	NO	NO	NO
RS_GCF_000690595.1	YES	YES	NO	NO	NO
RS_GCF_000698785.1	YES	YES	YES	YES	YES
RS_GCF_000710605.1	YES	YES	NO	NO	NO
RS_GCF_000710615.1	YES	NO	NO	NO	NO
RS_GCF_000711215.1	YES	YES	YES	NO	NO
RS_GCF_000711905.1	YES	YES	NO	NO	NO
RS_GCF_000723185.1	YES	YES	YES	NO	NO
RS_GCF_000723845.1	YES	YES	YES	YES	YES
RS_GCF_000725425.1	YES	YES	NO	NO	NO
RS_GCF_000731985.1	YES	NO	NO	NO	NO
RS_GCF_000734035.1	YES	NO	NO	NO	NO
RS_GCF_000739065.1	YES	YES	NO	NO	NO
RS_GCF_000739555.1	YES	YES	YES	NO	NO
RS_GCF_000739595.1	YES	NO	NO	NO	NO
RS_GCF_000744315.1	YES	YES	NO	NO	NO
RS_GCF_000745485.1	YES	YES	YES	YES	YES
RS_GCF_000746075.1	YES	YES	NO	NO	NO
RS_GCF_000746205.1	YES	NO	NO	NO	NO
RS_GCF_000747605.1	YES	YES	NO	NO	NO
RS_GCF_000755225.1	YES	NO	NO	NO	NO
RS_GCF_000755245.1	YES	NO	NO	NO	NO
RS_GCF_000762265.1	YES	YES	YES	NO	NO
RS_GCF_000765475.1	YES	NO	NO	NO	NO
RS_GCF_000769655.1	YES	YES	NO	NO	NO
RS_GCF_000784355.1	YES	NO	NO	NO	NO
RS_GCF_000789255.1	YES	YES	NO	NO	NO
RS_GCF_000812185.1	YES	NO	NO	NO	NO
RS_GCF_000813245.1	YES	NO	NO	NO	NO
RS_GCF_000816105.1	YES	YES	YES	NO	NO
RS_GCF_000824705.1	YES	NO	NO	NO	NO
RS_GCF_000827835.1	YES	YES	NO	NO	NO
RS_GCF_000828555.1	YES	YES	YES	YES	YES
RS_GCF_000828575.1	YES	YES	YES	NO	NO
RS_GCF_000953115.1	YES	YES	NO	NO	NO
RS_GCF_000955905.1	YES	NO	NO	NO	NO
RS_GCF_000966265.1	YES	NO	NO	NO	NO
RS_GCF_000968355.1	YES	NO	NO	NO	NO
RS_GCF_000968395.1	YES	YES	YES	YES	YES
RS_GCF_000968435.1	YES	NO	NO	NO	NO
RS_GCF_000969885.1	YES	NO	NO	NO	NO
RS_GCF_000969905.1	YES	YES	YES	YES	NO
RS_GCF_000969945.1	YES	YES	NO	NO	NO
RS_GCF_000969985.1	YES	NO	NO	NO	NO
RS_GCF_000970005.1	YES	YES	NO	NO	NO
RS_GCF_000970025.1	YES	NO	NO	NO	NO
RS_GCF_000970045.1	YES	YES	YES	NO	NO
RS_GCF_000970065.1	YES	NO	NO	NO	NO
RS_GCF_000970085.1	YES	NO	NO	NO	NO
RS_GCF_000970145.1	YES	NO	NO	NO	NO
RS_GCF_000970165.1	YES	YES	YES	NO	NO
RS_GCF_000970185.1	YES	NO	NO	NO	NO
RS_GCF_000970205.1	YES	YES	NO	NO	NO
RS_GCF_000970245.1	YES	NO	NO	NO	NO
RS_GCF_000970265.1	YES	YES	NO	NO	NO
RS_GCF_000970285.1	YES	NO	NO	NO	NO
RS_GCF_000970305.1	YES	YES	YES	YES	NO
RS_GCF_000978935.1	YES	YES	NO	NO	NO
RS_GCF_000978945.1	YES	NO	NO	NO	NO
RS_GCF_000978955.1	YES	YES	YES	NO	NO
RS_GCF_000978965.1	YES	YES	NO	NO	NO
RS_GCF_000979015.1	YES	NO	NO	NO	NO
RS_GCF_000979025.1	YES	NO	NO	NO	NO
RS_GCF_000979035.1	YES	YES	YES	YES	NO
RS_GCF_000979045.1	YES	YES	YES	YES	NO
RS_GCF_000979095.1	YES	YES	YES	YES	YES
RS_GCF_000979105.1	YES	NO	NO	NO	NO
RS_GCF_000979115.1	YES	NO	NO	NO	NO
RS_GCF_000979125.1	YES	YES	NO	NO	NO
RS_GCF_000979175.1	YES	YES	NO	NO	NO
RS_GCF_000979185.1	YES	NO	NO	NO	NO
RS_GCF_000979195.1	YES	YES	YES	YES	YES
RS_GCF_000979205.1	YES	YES	YES	NO	NO
RS_GCF_000979265.1	YES	NO	NO	NO	NO
RS_GCF_000979275.1	YES	NO	NO	NO	NO
RS_GCF_000979295.1	YES	YES	YES	YES	YES
RS_GCF_000979335.1	YES	NO	NO	NO	NO
RS_GCF_000979345.1	YES	YES	YES	NO	NO
RS_GCF_000979375.1	YES	YES	YES	YES	YES
RS_GCF_000979385.1	YES	YES	YES	NO	NO
RS_GCF_000979425.1	YES	NO	NO	NO	NO
RS_GCF_000979455.1	YES	YES	NO	NO	NO
RS_GCF_000979475.1	YES	YES	NO	NO	NO
RS_GCF_000979495.1	YES	YES	NO	NO	NO
RS_GCF_000979505.1	YES	NO	NO	NO	NO
RS_GCF_000979515.1	YES	YES	NO	NO	NO
RS_GCF_000979555.1	YES	YES	NO	NO	NO
RS_GCF_000979575.1	YES	NO	NO	NO	NO
RS_GCF_000979585.1	YES	YES	YES	NO	NO
RS_GCF_000979595.1	YES	YES	YES	YES	YES
RS_GCF_000979635.1	YES	NO	NO	NO	NO
RS_GCF_000979655.1	YES	YES	NO	NO	NO
RS_GCF_000979665.1	YES	NO	NO	NO	NO
RS_GCF_000979675.1	YES	YES	NO	NO	NO
RS_GCF_000979685.1	YES	YES	YES	NO	NO
RS_GCF_000979735.1	YES	NO	NO	NO	NO
RS_GCF_000979745.1	YES	YES	NO	NO	NO
RS_GCF_000979755.1	YES	NO	NO	NO	NO
RS_GCF_000979765.1	YES	YES	NO	NO	NO
RS_GCF_000979815.1	YES	YES	NO	NO	NO
RS_GCF_000979825.1	YES	YES	NO	NO	NO
RS_GCF_000979895.1	YES	NO	NO	NO	NO
RS_GCF_000979915.1	YES	NO	NO	NO	NO
RS_GCF_000979925.1	YES	YES	YES	YES	YES
RS_GCF_000979935.1	YES	NO	NO	NO	NO
RS_GCF_000979975.1	YES	NO	NO	NO	NO
RS_GCF_000979995.1	YES	NO	NO	NO	NO
RS_GCF_000980005.1	YES	YES	YES	YES	NO
RS_GCF_000980025.1	YES	NO	NO	NO	NO
RS_GCF_000980055.1	YES	YES	YES	YES	YES
RS_GCF_000980075.1	YES	NO	NO	NO	NO
RS_GCF_000980085.1	YES	YES	YES	NO	NO
RS_GCF_000980105.1	YES	NO	NO	NO	NO
RS_GCF_000980135.1	YES	YES	YES	YES	YES
RS_GCF_000980155.1	YES	NO	NO	NO	NO
RS_GCF_000980175.1	YES	YES	NO	NO	NO
RS_GCF_000993805.1	YES	YES	YES	YES	NO
RS_GCF_001006045.1	YES	NO	NO	NO	NO
RS_GCF_001011115.1	YES	NO	NO	NO	NO
RS_GCF_001017125.1	YES	YES	YES	NO	NO
RS_GCF_001027005.1	YES	YES	YES	YES	YES
RS_GCF_001190965.1	YES	NO	NO	NO	NO
RS_GCF_001266655.1	YES	YES	YES	NO	NO
RS_GCF_001266675.1	YES	NO	NO	NO	NO
RS_GCF_001266695.1	YES	NO	NO	NO	NO
RS_GCF_001266715.1	YES	NO	NO	NO	NO
RS_GCF_001266735.1	YES	NO	NO	NO	NO
RS_GCF_001280425.1	YES	NO	NO	NO	NO
RS_GCF_001280455.1	YES	YES	YES	NO	NO
RS_GCF_001282785.1	YES	NO	NO	NO	NO
RS_GCF_001304615.1	YES	NO	NO	NO	NO
RS_GCF_001305655.1	YES	YES	YES	YES	NO
RS_GCF_001316065.1	YES	YES	NO	NO	NO
RS_GCF_001316085.1	YES	YES	NO	NO	NO
RS_GCF_001317345.1	YES	YES	YES	YES	YES
RS_GCF_001412615.1	YES	YES	YES	NO	NO
RS_GCF_001433455.1	YES	YES	NO	NO	NO
RS_GCF_001458655.1	YES	YES	NO	NO	NO
RS_GCF_001462205.1	YES	YES	YES	YES	YES
RS_GCF_001462395.1	YES	NO	NO	NO	NO
RS_GCF_001469875.2	YES	NO	NO	NO	NO
RS_GCF_001469955.1	YES	YES	NO	NO	NO
RS_GCF_001477655.1	YES	NO	NO	NO	NO
RS_GCF_001481635.1	YES	YES	NO	NO	NO
RS_GCF_001481685.1	YES	YES	NO	NO	NO
RS_GCF_001482285.1	YES	YES	NO	NO	NO
RS_GCF_001484195.1	YES	YES	YES	YES	NO
RS_GCF_001484685.1	YES	NO	NO	NO	NO
RS_GCF_001485535.1	YES	YES	NO	NO	NO
RS_GCF_001485575.1	YES	NO	NO	NO	NO
RS_GCF_001488575.1	YES	YES	NO	NO	NO
RS_GCF_001541925.1	YES	YES	YES	NO	NO
RS_GCF_001548675.1	YES	NO	NO	NO	NO
RS_GCF_001559955.1	YES	NO	NO	NO	NO
RS_GCF_001559965.1	YES	NO	NO	NO	NO
RS_GCF_001559975.1	YES	NO	NO	NO	NO
RS_GCF_001559985.1	YES	YES	YES	NO	NO
RS_GCF_001560035.1	YES	NO	NO	NO	NO
RS_GCF_001560045.1	YES	YES	NO	NO	NO
RS_GCF_001560065.1	YES	YES	YES	YES	YES
RS_GCF_001560085.1	YES	NO	NO	NO	NO
RS_GCF_001560115.1	YES	YES	NO	NO	NO
RS_GCF_001560125.1	YES	NO	NO	NO	NO
RS_GCF_001560135.1	YES	YES	YES	NO	NO
RS_GCF_001560165.1	YES	YES	NO	NO	NO
RS_GCF_001560195.1	YES	NO	NO	NO	NO
RS_GCF_001560205.1	YES	YES	NO	NO	NO
RS_GCF_001560215.1	YES	YES	YES	YES	YES
RS_GCF_001560245.1	YES	YES	NO	NO	NO
RS_GCF_001560275.1	YES	NO	NO	NO	NO
RS_GCF_001560285.1	YES	YES	NO	NO	NO
RS_GCF_001560305.1	YES	YES	YES	YES	YES
RS_GCF_001560315.1	YES	YES	NO	NO	NO
RS_GCF_001560355.1	YES	NO	NO	NO	NO
RS_GCF_001560375.1	YES	YES	YES	YES	NO
RS_GCF_001560385.1	YES	NO	NO	NO	NO
RS_GCF_001560405.1	YES	NO	NO	NO	NO
RS_GCF_001560435.1	YES	YES	YES	YES	YES
RS_GCF_001560455.1	YES	NO	NO	NO	NO
RS_GCF_001560465.1	YES	YES	YES	NO	NO
RS_GCF_001560485.1	YES	YES	YES	YES	NO
RS_GCF_001560515.1	YES	YES	YES	YES	YES
RS_GCF_001560525.1	YES	YES	YES	YES	YES
RS_GCF_001560555.1	YES	YES	NO	NO	NO
RS_GCF_001560565.1	YES	NO	NO	NO	NO
RS_GCF_001560595.1	YES	NO	NO	NO	NO
RS_GCF_001560605.1	YES	YES	YES	YES	YES
RS_GCF_001560635.1	YES	NO	NO	NO	NO
RS_GCF_001560645.1	YES	NO	NO	NO	NO
RS_GCF_001560675.1	YES	YES	NO	NO	NO
RS_GCF_001560685.1	YES	YES	YES	NO	NO
RS_GCF_001560725.1	YES	YES	NO	NO	NO
RS_GCF_001560755.1	YES	NO	NO	NO	NO
RS_GCF_001560765.1	YES	NO	NO	NO	NO
RS_GCF_001560815.1	YES	NO	NO	NO	NO
RS_GCF_001560835.1	YES	YES	YES	NO	NO
RS_GCF_001563245.1	YES	YES	NO	NO	NO
RS_GCF_001571385.1	YES	YES	YES	YES	NO
RS_GCF_001571405.1	YES	NO	NO	NO	NO
RS_GCF_001592435.1	YES	YES	NO	NO	NO
RS_GCF_001593955.1	YES	YES	YES	NO	NO
RS_GCF_001602375.1	YES	NO	NO	NO	NO
RS_GCF_001639275.1	YES	NO	NO	NO	NO
RS_GCF_001639285.1	YES	YES	YES	YES	NO
RS_GCF_001639295.1	YES	NO	NO	NO	NO
RS_GCF_001647085.1	YES	YES	YES	YES	NO
RS_GCF_001647155.1	YES	NO	NO	NO	NO
RS_GCF_001719125.1	YES	YES	YES	YES	YES
RS_GCF_001729375.1	YES	YES	NO	NO	NO
RS_GCF_001729385.1	YES	YES	NO	NO	NO
RS_GCF_001729965.1	YES	NO	NO	NO	NO
RS_GCF_001748385.1	YES	NO	NO	NO	NO
RS_GCF_001767315.1	YES	NO	NO	NO	NO
RS_GCF_001861355.1	YES	YES	NO	NO	NO
RS_GCF_001886955.1	YES	NO	NO	NO	NO
RS_GCF_001888095.1	YES	YES	YES	NO	NO
RS_GCF_001889405.1	YES	NO	NO	NO	NO
RS_GCF_001950595.1	YES	NO	NO	NO	NO
RS_GCF_001953745.1	YES	NO	NO	NO	NO
RS_GCF_001971705.1	YES	YES	NO	NO	NO
RS_GCF_001989615.1	YES	NO	NO	NO	NO
RS_GCF_002025255.1	YES	NO	NO	NO	NO
RS_GCF_002072215.1	YES	NO	NO	NO	NO
RS_GCF_002135045.1	YES	NO	NO	NO	NO
RS_GCF_002153915.1	YES	NO	NO	NO	NO
RS_GCF_002156705.1	YES	YES	NO	NO	NO
RS_GCF_002156965.1	YES	YES	NO	NO	NO
RS_GCF_002177135.1	YES	NO	NO	NO	NO
RS_GCF_002194565.1	YES	NO	NO	NO	NO
RS_GCF_002197185.1	YES	NO	NO	NO	NO
RS_GCF_002201915.1	YES	NO	NO	NO	NO
RS_GCF_002208625.1	YES	NO	NO	NO	NO
RS_GCF_002214365.1	YES	NO	NO	NO	NO
RS_GCF_002214385.1	YES	NO	NO	NO	NO
RS_GCF_002214465.1	YES	YES	NO	NO	NO
RS_GCF_002214485.1	YES	NO	NO	NO	NO
RS_GCF_002214505.1	YES	NO	NO	NO	NO
RS_GCF_002214525.1	YES	NO	NO	NO	NO
RS_GCF_002214545.1	YES	NO	NO	NO	NO
RS_GCF_002214565.1	YES	NO	NO	NO	NO
RS_GCF_002214585.1	YES	YES	NO	NO	NO
RS_GCF_002215305.1	YES	NO	NO	NO	NO
RS_GCF_002215405.1	YES	YES	YES	YES	YES
RS_GCF_002215445.1	YES	NO	NO	NO	NO
RS_GCF_002215485.1	YES	YES	YES	NO	NO
RS_GCF_002215525.1	YES	NO	NO	NO	NO
RS_GCF_002215565.1	YES	NO	NO	NO	NO
RS_GCF_002252585.1	YES	NO	NO	NO	NO
RS_GCF_002252835.1	YES	YES	NO	NO	NO
RS_GCF_002252875.1	YES	NO	NO	NO	NO
RS_GCF_002252895.1	YES	NO	NO	NO	NO
RS_GCF_002252925.1	YES	NO	NO	NO	NO
RS_GCF_002252965.1	YES	YES	YES	YES	YES
RS_GCF_002287195.1	YES	YES	NO	NO	NO
RS_GCF_002287215.1	YES	NO	NO	NO	NO
RS_GCF_002355635.1	YES	NO	NO	NO	NO
RS_GCF_002355655.1	YES	NO	NO	NO	NO
RS_GCF_002379115.1	YES	YES	YES	NO	NO
RS_GCF_002487355.1	YES	YES	YES	NO	NO
RS_GCF_002494345.1	YES	NO	NO	NO	NO
RS_GCF_002572525.1	YES	NO	NO	NO	NO
RS_GCF_002727095.1	YES	NO	NO	NO	NO
RS_GCF_002727125.1	YES	YES	YES	YES	NO
RS_GCF_002761295.1	YES	NO	NO	NO	NO
RS_GCF_002787055.1	YES	NO	NO	NO	NO
RS_GCF_002788215.1	YES	YES	NO	NO	NO
RS_GCF_002813085.1	YES	YES	NO	NO	NO
RS_GCF_002813655.1	YES	NO	NO	NO	NO
RS_GCF_002813675.1	YES	NO	NO	NO	NO
RS_GCF_002844195.1	YES	YES	NO	NO	NO
RS_GCF_002844335.1	YES	NO	NO	NO	NO
RS_GCF_002855455.1	YES	YES	NO	NO	NO
RS_GCF_002906215.1	YES	YES	NO	NO	NO
RS_GCF_002906575.1	YES	NO	NO	NO	NO
RS_GCF_002945325.1	YES	NO	NO	NO	NO
RS_GCF_002952775.1	YES	YES	YES	NO	NO
RS_GCF_002973515.1	YES	YES	YES	NO	NO
RS_GCF_003045125.1	YES	YES	NO	NO	NO
RS_GCF_003052125.1	YES	NO	NO	NO	NO
RS_GCF_003058365.1	YES	NO	NO	NO	NO
RS_GCF_003111605.1	YES	NO	NO	NO	NO
RS_GCF_003111625.1	YES	YES	NO	NO	NO
RS_GCF_003149675.1	YES	YES	NO	NO	NO
RS_GCF_003173335.1	YES	YES	NO	NO	NO
RS_GCF_003173355.1	YES	NO	NO	NO	NO
RS_GCF_003175215.1	YES	YES	NO	NO	NO
RS_GCF_003201675.1	YES	NO	NO	NO	NO
RS_GCF_003201765.1	YES	YES	NO	NO	NO
RS_GCF_003201835.1	YES	YES	YES	YES	NO
RS_GCF_003264935.1	YES	YES	NO	NO	NO
RS_GCF_003265405.1	YES	YES	NO	NO	NO
RS_GCF_003268005.1	YES	YES	NO	NO	NO
RS_GCF_003287355.1	YES	NO	NO	NO	NO
RS_GCF_003298465.1	YES	NO	NO	NO	NO
RS_GCF_003336245.1	YES	NO	NO	NO	NO
RS_GCF_003342675.1	YES	YES	NO	NO	NO
RS_GCF_003342695.1	YES	YES	YES	YES	YES
RS_GCF_003344565.1	YES	NO	NO	NO	NO
RS_GCF_003351065.1	YES	YES	YES	NO	NO
RS_GCF_003369835.1	YES	NO	NO	NO	NO
RS_GCF_003382685.1	YES	NO	NO	NO	NO
RS_GCF_003383005.1	YES	NO	NO	NO	NO
RS_GCF_003383025.1	YES	YES	YES	YES	NO
RS_GCF_003383065.1	YES	NO	NO	NO	NO
RS_GCF_003383085.1	YES	YES	NO	NO	NO
RS_GCF_003383095.1	YES	NO	NO	NO	NO
RS_GCF_003385755.1	YES	YES	YES	NO	NO
RS_GCF_003430805.1	YES	YES	YES	NO	NO
RS_GCF_003430825.1	YES	YES	YES	NO	NO
RS_GCF_003431325.1	YES	NO	NO	NO	NO
RS_GCF_003439925.1	YES	NO	NO	NO	NO
RS_GCF_003586325.1	YES	YES	NO	NO	NO
RS_GCF_003602035.1	YES	NO	NO	NO	NO
RS_GCF_003605575.1	YES	YES	YES	YES	NO
RS_GCF_003610195.1	YES	NO	NO	NO	NO
RS_GCF_003634715.1	YES	NO	NO	NO	NO
RS_GCF_003665865.1	YES	YES	YES	YES	YES
RS_GCF_003665885.1	YES	YES	YES	NO	NO
RS_GCF_003665905.1	YES	NO	NO	NO	NO
RS_GCF_003665985.1	YES	NO	NO	NO	NO
RS_GCF_003666025.1	YES	NO	NO	NO	NO
RS_GCF_003666065.1	YES	NO	NO	NO	NO
RS_GCF_003670115.1	YES	YES	NO	NO	NO
RS_GCF_003675855.1	YES	YES	NO	NO	NO
RS_GCF_003675875.1	YES	YES	NO	NO	NO
RS_GCF_003688715.1	YES	NO	NO	NO	NO
RS_GCF_003697845.1	YES	YES	NO	NO	NO
RS_GCF_003721175.1	YES	NO	NO	NO	NO
RS_GCF_003721435.1	YES	YES	YES	YES	YES
RS_GCF_003722055.1	YES	YES	NO	NO	NO
RS_GCF_003722075.1	YES	YES	YES	NO	NO
RS_GCF_003722115.1	YES	NO	NO	NO	NO
RS_GCF_003722155.1	YES	NO	NO	NO	NO
RS_GCF_003730195.1	YES	YES	NO	NO	NO
RS_GCF_003781945.1	YES	NO	NO	NO	NO
RS_GCF_003814835.1	YES	YES	YES	YES	NO
RS_GCF_003841465.1	YES	NO	NO	NO	NO
RS_GCF_003841485.1	YES	YES	YES	NO	NO
RS_GCF_003841505.1	YES	YES	NO	NO	NO
RS_GCF_003852095.1	YES	NO	NO	NO	NO
RS_GCF_003852135.1	YES	YES	YES	YES	YES
RS_GCF_003852155.1	YES	NO	NO	NO	NO
RS_GCF_003852175.1	YES	YES	NO	NO	NO
RS_GCF_003852195.1	YES	NO	NO	NO	NO
RS_GCF_003852215.1	YES	NO	NO	NO	NO
RS_GCF_003856835.1	YES	NO	NO	NO	NO
RS_GCF_003862495.1	YES	YES	YES	NO	NO
RS_GCF_003967175.1	YES	YES	YES	YES	YES
RS_GCF_003977755.1	YES	NO	NO	NO	NO
RS_GCF_003990725.1	YES	YES	YES	NO	NO
RS_GCF_003992375.1	YES	NO	NO	NO	NO
RS_GCF_003992425.1	YES	NO	NO	NO	NO
RS_GCF_004015825.1	YES	NO	NO	NO	NO
RS_GCF_004087835.1	YES	NO	NO	NO	NO
RS_GCF_004099695.1	YES	NO	NO	NO	NO
RS_GCF_004102725.1	YES	YES	NO	NO	NO
RS_GCF_004104135.1	YES	YES	NO	NO	NO
RS_GCF_004114375.1	YES	NO	NO	NO	NO
RS_GCF_004114995.1	YES	YES	NO	NO	NO
RS_GCF_004116405.1	YES	YES	NO	NO	NO
RS_GCF_004126515.1	YES	YES	NO	NO	NO
RS_GCF_004137855.1	YES	NO	NO	NO	NO
RS_GCF_004209855.1	YES	YES	YES	YES	YES
RS_GCF_004297185.1	YES	YES	NO	NO	NO
RS_GCF_004310395.1	YES	YES	YES	YES	YES
RS_GCF_004340645.1	YES	YES	NO	NO	NO
RS_GCF_004363215.1	YES	NO	NO	NO	NO
RS_GCF_004681185.1	YES	YES	NO	NO	NO
RS_GCF_004698125.1	YES	NO	NO	NO	NO
RS_GCF_004745425.1	YES	YES	YES	NO	NO
RS_GCF_004762015.1	YES	YES	NO	NO	NO
RS_GCF_004765785.1	YES	YES	YES	YES	YES
RS_GCF_004765795.1	YES	YES	YES	YES	NO
RS_GCF_004765805.1	YES	YES	YES	NO	NO
RS_GCF_004785955.1	YES	YES	NO	NO	NO
RS_GCF_004799605.1	YES	NO	NO	NO	NO
RS_GCF_004799645.1	YES	NO	NO	NO	NO
RS_GCF_004799665.1	YES	YES	YES	NO	NO
RS_GCF_004799685.1	YES	NO	NO	NO	NO
RS_GCF_004803735.1	YES	NO	NO	NO	NO
RS_GCF_004916935.1	YES	YES	NO	NO	NO
RS_GCF_004916945.1	YES	NO	NO	NO	NO
RS_GCF_004944975.1	YES	NO	NO	NO	NO
RS_GCF_005049285.1	YES	NO	NO	NO	NO
RS_GCF_005239175.1	YES	NO	NO	NO	NO
RS_GCF_005239425.1	YES	NO	NO	NO	NO
RS_GCF_005239435.1	YES	YES	YES	YES	YES
RS_GCF_005310945.1	YES	NO	NO	NO	NO
RS_GCF_005406125.1	YES	NO	NO	NO	NO
RS_GCF_005406325.1	YES	NO	NO	NO	NO
RS_GCF_005435015.1	YES	NO	NO	NO	NO
RS_GCF_005435025.1	YES	YES	NO	NO	NO
RS_GCF_005435035.1	YES	YES	YES	YES	YES
RS_GCF_005435095.1	YES	NO	NO	NO	NO
RS_GCF_005435115.1	YES	YES	YES	NO	NO
RS_GCF_005435135.1	YES	NO	NO	NO	NO
RS_GCF_005435165.1	YES	YES	YES	YES	NO
RS_GCF_005435175.1	YES	NO	NO	NO	NO
RS_GCF_005435195.1	YES	YES	NO	NO	NO
RS_GCF_005435225.1	YES	YES	NO	NO	NO
RS_GCF_005435235.1	YES	NO	NO	NO	NO
RS_GCF_005485005.1	YES	NO	NO	NO	NO
RS_GCF_005543295.1	YES	YES	NO	NO	NO
RS_GCF_005576615.1	YES	NO	NO	NO	NO
RS_GCF_005890195.1	YES	YES	NO	NO	NO
RS_GCF_005954745.1	YES	NO	NO	NO	NO
RS_GCF_006274605.1	YES	NO	NO	NO	NO
RS_GCF_006543045.1	YES	YES	YES	NO	NO
RS_GCF_006740685.1	YES	NO	NO	NO	NO
RS_GCF_006861655.1	YES	NO	NO	NO	NO
RS_GCF_006861665.1	YES	NO	NO	NO	NO
RS_GCF_007004735.1	YES	NO	NO	NO	NO
RS_GCF_900003505.1	YES	YES	NO	NO	NO
RS_GCF_900003515.1	YES	NO	NO	NO	NO
RS_GCF_900003525.1	YES	NO	NO	NO	NO
RS_GCF_900003565.1	YES	YES	YES	NO	NO
RS_GCF_900003575.1	YES	NO	NO	NO	NO
RS_GCF_900004275.1	YES	YES	YES	YES	YES
RS_GCF_900005775.1	YES	NO	NO	NO	NO
RS_GCF_900036045.1	YES	YES	YES	NO	NO
RS_GCF_900069765.1	YES	NO	NO	NO	NO
RS_GCF_900079115.1	YES	YES	NO	NO	NO
RS_GCF_900079125.1	YES	NO	NO	NO	NO
RS_GCF_900095295.1	YES	NO	NO	NO	NO
RS_GCF_900095385.1	YES	YES	NO	NO	NO
RS_GCF_900095815.1	YES	NO	NO	NO	NO
RS_GCF_900100335.1	YES	NO	NO	NO	NO
RS_GCF_900100385.1	YES	YES	NO	NO	NO
RS_GCF_900100875.1	YES	NO	NO	NO	NO
RS_GCF_900102305.1	YES	NO	NO	NO	NO
RS_GCF_900103715.1	YES	NO	NO	NO	NO
RS_GCF_900104065.1	YES	NO	NO	NO	NO
RS_GCF_900106715.1	YES	YES	YES	NO	NO
RS_GCF_900106905.1	YES	NO	NO	NO	NO
RS_GCF_900107195.1	YES	YES	YES	NO	NO
RS_GCF_900107205.1	YES	NO	NO	NO	NO
RS_GCF_900107665.1	YES	NO	NO	NO	NO
RS_GCF_900108095.1	YES	YES	NO	NO	NO
RS_GCF_900108165.1	YES	NO	NO	NO	NO
RS_GCF_900108505.1	YES	YES	NO	NO	NO
RS_GCF_900109065.1	YES	YES	YES	NO	NO
RS_GCF_900109425.1	YES	YES	YES	YES	NO
RS_GCF_900109595.1	YES	YES	YES	NO	NO
RS_GCF_900109695.1	YES	YES	YES	YES	NO
RS_GCF_900110215.1	YES	YES	NO	NO	NO
RS_GCF_900110455.1	YES	NO	NO	NO	NO
RS_GCF_900110465.1	YES	NO	NO	NO	NO
RS_GCF_900110535.1	YES	YES	NO	NO	NO
RS_GCF_900110865.1	YES	YES	YES	NO	NO
RS_GCF_900111485.1	YES	YES	YES	YES	YES
RS_GCF_900111645.1	YES	YES	NO	NO	NO
RS_GCF_900111935.1	YES	NO	NO	NO	NO
RS_GCF_900112175.1	YES	NO	NO	NO	NO
RS_GCF_900112205.1	YES	NO	NO	NO	NO
RS_GCF_900114025.1	YES	YES	YES	YES	NO
RS_GCF_900114435.1	YES	NO	NO	NO	NO
RS_GCF_900114455.1	YES	YES	YES	YES	NO
RS_GCF_900114585.1	YES	NO	NO	NO	NO
RS_GCF_900114835.1	YES	NO	NO	NO	NO
RS_GCF_900115675.1	YES	YES	NO	NO	NO
RS_GCF_900115785.1	YES	YES	NO	NO	NO
RS_GCF_900116205.1	YES	YES	NO	NO	NO
RS_GCF_900129775.1	YES	YES	NO	NO	NO
RS_GCF_900143675.1	YES	YES	YES	YES	NO
RS_GCF_900156425.1	YES	YES	YES	YES	NO
RS_GCF_900156445.1	YES	YES	YES	NO	NO
RS_GCF_900156475.1	YES	YES	NO	NO	NO
RS_GCF_900167955.1	YES	YES	NO	NO	NO
RS_GCF_900177455.1	YES	YES	YES	YES	NO
RS_GCF_900182635.1	YES	NO	NO	NO	NO
RS_GCF_900188075.1	YES	YES	NO	NO	NO
RS_GCF_900198835.1	YES	NO	NO	NO	NO
